,educ,fdm01a,di01a,pa02a
365,MITTLERE REIFE,DEUTSCHLAND,700,MITTEL
366,FACHHOCHSCHULREIFE,DEUTSCHLAND,4200,STARK
367,FACHHOCHSCHULREIFE,DEUTSCHLAND,3550,MITTEL
368,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,2500,WENIG
369,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,3500,STARK
370,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,2000,MITTEL
371,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,KEIN EINKOMMEN,MITTEL
372,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,1300,UEBERHAUPT NICHT
373,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
374,MITTLERE REIFE,DEUTSCHLAND,700,MITTEL
375,FACHHOCHSCHULREIFE,DEUTSCHLAND,1800,MITTEL
376,MITTLERE REIFE,DEUTSCHLAND,2000,MITTEL
377,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1260,MITTEL
378,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,WENIG
379,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,1900,MITTEL
380,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,3200,MITTEL
381,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,STARK
382,MITTLERE REIFE,DEUTSCHLAND,625,MITTEL
383,"VOLKS-,HAUPTSCHULE",SYRIEN,KEIN EINKOMMEN,WENIG
384,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1800,STARK
385,MITTLERE REIFE,TSCHECHOSLOWAKEI,1600,STARK
386,HOCHSCHULREIFE,DEUTSCHLAND,800,STARK
387,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1400,MITTEL
388,HOCHSCHULREIFE,DEUTSCHLAND,1700,SEHR STARK
389,HOCHSCHULREIFE,WEISS NICHT,VERWEIGERT,WENIG
390,FACHHOCHSCHULREIFE,NIEDERLANDE,5500,MITTEL
391,"VOLKS-,HAUPTSCHULE",TUERKEI,267,STARK
392,"VOLKS-,HAUPTSCHULE",POLEN,KEIN EINKOMMEN,WENIG
393,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,3500,STARK
394,"VOLKS-,HAUPTSCHULE",WEISS NICHT,900,MITTEL
395,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
396,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,735,SEHR STARK
397,MITTLERE REIFE,DEUTSCHLAND,2100,WENIG
398,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,2000,MITTEL
399,HOCHSCHULREIFE,DEUTSCHLAND,1400,UEBERHAUPT NICHT
400,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,720,MITTEL
401,HOCHSCHULREIFE,DEUTSCHLAND,650,UEBERHAUPT NICHT
402,MITTLERE REIFE,BOSNIEN+HERZEGOWINA,724,STARK
403,FACHHOCHSCHULREIFE,DEUTSCHLAND,1100,STARK
404,MITTLERE REIFE,DEUTSCHLAND,3000,STARK
405,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
406,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,110,WENIG
407,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,VERWEIGERT,MITTEL
408,"VOLKS-,HAUPTSCHULE",WEISS NICHT,1003,UEBERHAUPT NICHT
409,MITTLERE REIFE,JUGOSLAWIEN,500,MITTEL
410,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,WENIG
411,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,2100,MITTEL
412,"VOLKS-,HAUPTSCHULE",TUERKEI,1800,SEHR STARK
413,MITTLERE REIFE,DEUTSCHLAND,KEIN EINKOMMEN,MITTEL
414,HOCHSCHULREIFE,POLEN,VERWEIGERT,MITTEL
415,HOCHSCHULREIFE,DEUTSCHLAND,6000,SEHR STARK
416,MITTLERE REIFE,DEUTSCHLAND,1234,MITTEL
417,HOCHSCHULREIFE,DEUTSCHLAND,3200,SEHR STARK
418,FACHHOCHSCHULREIFE,DEUTSCHLAND,2100,WENIG
419,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,2000,MITTEL
420,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,4005,SEHR STARK
421,HOCHSCHULREIFE,JUGOSLAWIEN,875,WENIG
422,FACHHOCHSCHULREIFE,DEUTSCHLAND,1100,STARK
423,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
424,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,900,MITTEL
425,MITTLERE REIFE,WEISS NICHT,1250,MITTEL
426,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,UEBERHAUPT NICHT
427,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,700,STARK
428,FACHHOCHSCHULREIFE,POLEN,KEIN EINKOMMEN,MITTEL
429,HOCHSCHULREIFE,DEUTSCHLAND,3800,STARK
430,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1100,WENIG
431,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1500,WENIG
432,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,UEBERHAUPT NICHT
433,"VOLKS-,HAUPTSCHULE",TUERKEI,VERWEIGERT,STARK
434,HOCHSCHULREIFE,DEUTSCHLAND,2200,MITTEL
435,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
436,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,MITTEL
437,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,291,MITTEL
438,FACHHOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,2500,STARK
439,MITTLERE REIFE,DEUTSCHLAND,1550,MITTEL
440,FACHHOCHSCHULREIFE,DEUTSCHLAND,700,STARK
441,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,670,STARK
442,HOCHSCHULREIFE,DEUTSCHLAND,2800,MITTEL
443,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,1200,WENIG
444,MITTLERE REIFE,POLEN,1600,MITTEL
445,MITTLERE REIFE,DEUTSCHLAND,1200,MITTEL
446,HOCHSCHULREIFE,DEUTSCHLAND,180,MITTEL
447,HOCHSCHULREIFE,DEUTSCHLAND,400,SEHR STARK
448,HOCHSCHULREIFE,DEUTSCHLAND,2080,MITTEL
449,HOCHSCHULREIFE,OESTERREICH,4000,SEHR STARK
450,"VOLKS-,HAUPTSCHULE",ITALIEN,1400,MITTEL
451,HOCHSCHULREIFE,DEUTSCHLAND,2500,SEHR STARK
452,"VOLKS-,HAUPTSCHULE",SYRIEN,1300,WENIG
453,HOCHSCHULREIFE,DEUTSCHLAND,1800,MITTEL
454,HOCHSCHULREIFE,DEUTSCHLAND,3100,SEHR STARK
455,HOCHSCHULREIFE,DEUTSCHLAND,400,WENIG
456,"VOLKS-,HAUPTSCHULE",TUERKEI,1600,UEBERHAUPT NICHT
457,HOCHSCHULREIFE,DEUTSCHLAND,1600,MITTEL
458,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
459,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1200,MITTEL
460,MITTLERE REIFE,DEUTSCHLAND,1800,MITTEL
461,NOCH SCHUELER,DEUTSCHLAND,KEIN EINKOMMEN,STARK
462,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,STARK
463,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
464,MITTLERE REIFE,DEUTSCHLAND,2000,MITTEL
465,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,3000,WENIG
466,MITTLERE REIFE,DEUTSCHLAND,3000,MITTEL
467,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,2500,MITTEL
468,MITTLERE REIFE,DEUTSCHLAND,3000,STARK
469,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,550,WENIG
470,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,VERWEIGERT,STARK
471,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,WENIG
472,HOCHSCHULREIFE,DEUTSCHLAND,1500,STARK
473,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,1477,WENIG
474,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1000,UEBERHAUPT NICHT
475,HOCHSCHULREIFE,DEUTSCHLAND,3400,STARK
476,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,WENIG
477,HOCHSCHULREIFE,RUMAENIEN,3000,SEHR STARK
478,MITTLERE REIFE,DEUTSCHLAND,3200,MITTEL
479,MITTLERE REIFE,DEUTSCHLAND,1700,WENIG
480,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,KEIN EINKOMMEN,STARK
481,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,450,WENIG
482,HOCHSCHULREIFE,DEUTSCHLAND,1400,MITTEL
483,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,WENIG
484,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,WENIG
485,FACHHOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,1200,STARK
486,FACHHOCHSCHULREIFE,DEUTSCHLAND,2200,MITTEL
487,ANDERER ABSCHLUSS,DEUTSCHLAND,VERWEIGERT,MITTEL
488,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1450,WENIG
489,HOCHSCHULREIFE,DEUTSCHLAND,2800,MITTEL
490,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
491,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,1150,STARK
492,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1700,UEBERHAUPT NICHT
493,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1400,MITTEL
494,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,STARK
495,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,VERWEIGERT,MITTEL
496,FACHHOCHSCHULREIFE,JUGOSLAWIEN,1700,SEHR STARK
497,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1150,MITTEL
498,HOCHSCHULREIFE,DEUTSCHLAND,4000,WENIG
499,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1800,STARK
500,HOCHSCHULREIFE,DEUTSCHLAND,1650,MITTEL
501,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1100,STARK
502,HOCHSCHULREIFE,DEUTSCHLAND,1200,STARK
503,MITTLERE REIFE,OESTERREICH,1600,STARK
504,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,WENIG
505,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,1300,MITTEL
506,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,1500,MITTEL
507,"VOLKS-,HAUPTSCHULE",TUERKEI,1400,MITTEL
508,MITTLERE REIFE,DEUTSCHLAND,3000,STARK
509,MITTLERE REIFE,DEUTSCHLAND,500,MITTEL
510,MITTLERE REIFE,DEUTSCHLAND,2200,MITTEL
511,FACHHOCHSCHULREIFE,DEUTSCHLAND,KEIN EINKOMMEN,MITTEL
512,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,KEIN EINKOMMEN,WENIG
513,FACHHOCHSCHULREIFE,TUERKEI,2700,WENIG
514,FACHHOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,900,STARK
515,HOCHSCHULREIFE,SCHWEIZ,4200,MITTEL
516,FACHHOCHSCHULREIFE,DEUTSCHLAND,500,WENIG
517,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1100,MITTEL
518,MITTLERE REIFE,SOWJETUNION,1125,STARK
519,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,1800,SEHR STARK
520,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,1300,UEBERHAUPT NICHT
521,ANDERER ABSCHLUSS,DEUTSCHLAND,VERWEIGERT,WENIG
522,MITTLERE REIFE,DEUTSCHLAND,2000,MITTEL
523,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,1200,SEHR STARK
524,HOCHSCHULREIFE,DEUTSCHLAND,3000,SEHR STARK
525,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,420,MITTEL
526,HOCHSCHULREIFE,DEUTSCHLAND,1900,STARK
527,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
528,MITTLERE REIFE,LETTLAND,1000,STARK
529,HOCHSCHULREIFE,DEUTSCHLAND,2400,STARK
530,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,1800,MITTEL
531,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,700,MITTEL
532,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,KEIN EINKOMMEN,UEBERHAUPT NICHT
533,HOCHSCHULREIFE,SPANIEN,VERWEIGERT,SEHR STARK
534,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,STARK
535,HOCHSCHULREIFE,DEUTSCHLAND,1000,SEHR STARK
536,HOCHSCHULREIFE,DEUTSCHLAND,3225,STARK
537,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,1400,MITTEL
538,MITTLERE REIFE,DEUTSCHLAND,1500,STARK
539,HOCHSCHULREIFE,DEUTSCHLAND,3000,STARK
540,HOCHSCHULREIFE,BULGARIEN,3200,STARK
541,MITTLERE REIFE,DEUTSCHLAND,1780,MITTEL
542,FACHHOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
543,MITTLERE REIFE,DEUTSCHLAND,1400,WENIG
544,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,920,STARK
545,HOCHSCHULREIFE,INDIEN,KEIN EINKOMMEN,WENIG
546,MITTLERE REIFE,DEUTSCHLAND,1500,MITTEL
547,FACHHOCHSCHULREIFE,DEUTSCHLAND,2100,WENIG
548,MITTLERE REIFE,DEUTSCHLAND,1800,SEHR STARK
549,FACHHOCHSCHULREIFE,DEUTSCHLAND,KEIN EINKOMMEN,STARK
550,HOCHSCHULREIFE,DEUTSCHLAND,30,MITTEL
551,MITTLERE REIFE,DEUTSCHLAND,1000,STARK
552,MITTLERE REIFE,DEUTSCHLAND,1700,MITTEL
553,MITTLERE REIFE,DEUTSCHLAND,1600,STARK
554,MITTLERE REIFE,DEUTSCHLAND,1800,MITTEL
555,HOCHSCHULREIFE,DEUTSCHLAND,1200,STARK
556,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1500,UEBERHAUPT NICHT
557,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,KEIN EINKOMMEN,SEHR STARK
558,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,900,STARK
559,MITTLERE REIFE,JUGOSLAWIEN,800,MITTEL
560,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,1800,MITTEL
561,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
562,MITTLERE REIFE,DEUTSCHLAND,1100,MITTEL
563,MITTLERE REIFE,DEUTSCHLAND,1300,MITTEL
564,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,2500,MITTEL
565,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
566,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,830,MITTEL
567,FACHHOCHSCHULREIFE,DEUTSCHLAND,3500,STARK
568,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,2500,MITTEL
569,MITTLERE REIFE,DEUTSCHLAND,1680,UEBERHAUPT NICHT
570,MITTLERE REIFE,DEUTSCHLAND,1600,UEBERHAUPT NICHT
571,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,STARK
572,HOCHSCHULREIFE,DEUTSCHLAND,2400,MITTEL
573,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,STARK
574,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1400,STARK
575,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1500,MITTEL
576,MITTLERE REIFE,DEUTSCHLAND,1200,MITTEL
577,HOCHSCHULREIFE,DEUTSCHLAND,630,STARK
578,FACHHOCHSCHULREIFE,DEUTSCHLAND,1300,MITTEL
579,HOCHSCHULREIFE,DEUTSCHLAND,3000,SEHR STARK
580,HOCHSCHULREIFE,DEUTSCHLAND,1087,MITTEL
581,HOCHSCHULREIFE,DEUTSCHLAND,400,SEHR STARK
582,MITTLERE REIFE,DEUTSCHLAND,3000,STARK
583,MITTLERE REIFE,DEUTSCHLAND,700,WENIG
584,MITTLERE REIFE,DEUTSCHLAND,2700,WENIG
585,HOCHSCHULREIFE,DEUTSCHLAND,2800,STARK
586,FACHHOCHSCHULREIFE,DEUTSCHLAND,1800,SEHR STARK
587,HOCHSCHULREIFE,BRASILIEN,2400,STARK
588,MITTLERE REIFE,DEUTSCHLAND,1500,MITTEL
589,HOCHSCHULREIFE,FINNLAND,3000,WENIG
590,MITTLERE REIFE,DEUTSCHLAND,240,SEHR STARK
591,HOCHSCHULREIFE,DEUTSCHLAND,3100,STARK
592,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1500,WENIG
593,MITTLERE REIFE,DEUTSCHLAND,730,MITTEL
594,MITTLERE REIFE,DEUTSCHLAND,600,MITTEL
595,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1400,UEBERHAUPT NICHT
596,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,MITTEL
597,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,1200,SEHR STARK
598,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,2200,SEHR STARK
599,FACHHOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,UEBERHAUPT NICHT
600,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,700,MITTEL
601,MITTLERE REIFE,DEUTSCHLAND,750,WENIG
602,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,VERWEIGERT,STARK
603,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1350,MITTEL
604,HOCHSCHULREIFE,DEUTSCHLAND,400,WENIG
605,MITTLERE REIFE,DEUTSCHLAND,270,MITTEL
606,MITTLERE REIFE,DEUTSCHLAND,1100,STARK
607,HOCHSCHULREIFE,DEUTSCHLAND,2600,SEHR STARK
608,HOCHSCHULREIFE,DEUTSCHLAND,450,MITTEL
609,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,450,MITTEL
610,HOCHSCHULREIFE,DEUTSCHLAND,2500,SEHR STARK
611,HOCHSCHULREIFE,DEUTSCHLAND,120,STARK
612,HOCHSCHULREIFE,DEUTSCHLAND,2500,STARK
613,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
614,FACHHOCHSCHULREIFE,VEREINIGTES KOENIGR.,3000,MITTEL
615,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,VERWEIGERT,MITTEL
616,MITTLERE REIFE,DEUTSCHLAND,415,MITTEL
617,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,1397,MITTEL
618,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,SEHR STARK
619,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,905,STARK
620,FACHHOCHSCHULREIFE,DEUTSCHLAND,600,STARK
621,OHNE ABSCHLUSS,DEUTSCHLAND,1050,WENIG
622,HOCHSCHULREIFE,DEUTSCHLAND,2800,STARK
623,HOCHSCHULREIFE,DEUTSCHLAND,4000,SEHR STARK
624,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,WENIG
625,FACHHOCHSCHULREIFE,DEUTSCHLAND,1500,STARK
626,FACHHOCHSCHULREIFE,KEINE ANGABE,1500,UEBERHAUPT NICHT
627,MITTLERE REIFE,POLEN,2000,STARK
628,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,410,UEBERHAUPT NICHT
629,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,1700,STARK
630,HOCHSCHULREIFE,DEUTSCHLAND,2500,MITTEL
631,FACHHOCHSCHULREIFE,DEUTSCHLAND,400,STARK
632,MITTLERE REIFE,DEUTSCHLAND,700,STARK
633,HOCHSCHULREIFE,DEUTSCHLAND,KEIN EINKOMMEN,MITTEL
634,HOCHSCHULREIFE,DEUTSCHLAND,3400,SEHR STARK
635,MITTLERE REIFE,DEUTSCHLAND,3500,STARK
636,MITTLERE REIFE,DEUTSCHLAND,1800,WENIG
637,MITTLERE REIFE,DEUTSCHLAND,450,WENIG
638,HOCHSCHULREIFE,DEUTSCHLAND,4000,SEHR STARK
639,HOCHSCHULREIFE,JAPAN,350,MITTEL
640,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,2000,WENIG
641,"VOLKS-,HAUPTSCHULE",OESTERREICH,1500,MITTEL
642,HOCHSCHULREIFE,DEUTSCHLAND,3100,MITTEL
643,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
644,MITTLERE REIFE,DEUTSCHLAND,730,MITTEL
645,"VOLKS-,HAUPTSCHULE",KROATIEN,3500,STARK
646,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,450,MITTEL
647,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,VERWEIGERT,MITTEL
648,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,STARK
649,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1200,STARK
650,MITTLERE REIFE,DEUTSCHLAND,1300,WENIG
651,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,VERWEIGERT,STARK
652,HOCHSCHULREIFE,DEUTSCHLAND,2400,WENIG
653,HOCHSCHULREIFE,DEUTSCHLAND,450,STARK
654,HOCHSCHULREIFE,DEUTSCHLAND,1600,STARK
655,MITTLERE REIFE,DEUTSCHLAND,1500,STARK
656,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1200,UEBERHAUPT NICHT
657,MITTLERE REIFE,DEUTSCHLAND,1700,WENIG
658,HOCHSCHULREIFE,POLEN,2500,WENIG
659,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,220,STARK
660,HOCHSCHULREIFE,DEUTSCHLAND,1100,STARK
661,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,600,UEBERHAUPT NICHT
662,FACHHOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,350,WENIG
663,HOCHSCHULREIFE,DEUTSCHLAND,3300,WENIG
664,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,50,STARK
665,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1200,WENIG
666,HOCHSCHULREIFE,VEREINIGTES KOENIGR.,1600,STARK
667,MITTLERE REIFE,DEUTSCHLAND,1100,MITTEL
668,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,345,MITTEL
669,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1500,STARK
670,FACHHOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
671,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,980,MITTEL
672,FACHHOCHSCHULREIFE,OESTERREICH,VERWEIGERT,STARK
673,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,WENIG
674,MITTLERE REIFE,DEUTSCHLAND,4500,MITTEL
675,HOCHSCHULREIFE,DEUTSCHLAND,550,MITTEL
676,HOCHSCHULREIFE,DEUTSCHLAND,1300,STARK
677,MITTLERE REIFE,DEUTSCHLAND,1500,STARK
678,HOCHSCHULREIFE,TSCHECHOSLOWAKEI,4000,STARK
679,KEINE ANGABE,SYRIEN,364,SEHR STARK
680,MITTLERE REIFE,DEUTSCHLAND,2900,MITTEL
681,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,VERWEIGERT,MITTEL
682,FACHHOCHSCHULREIFE,DEUTSCHLAND,1300,STARK
683,MITTLERE REIFE,DEUTSCHLAND,1700,SEHR STARK
684,MITTLERE REIFE,DEUTSCHLAND,2100,STARK
685,MITTLERE REIFE,FRANKREICH,2600,SEHR STARK
686,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,420,MITTEL
687,FACHHOCHSCHULREIFE,DEUTSCHLAND,4800,STARK
688,MITTLERE REIFE,KEINE ANGABE,600,STARK
689,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,STARK
690,HOCHSCHULREIFE,DEUTSCHLAND,2000,MITTEL
691,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
692,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1065,WENIG
693,MITTLERE REIFE,PORTUGAL,800,MITTEL
694,MITTLERE REIFE,DEUTSCHLAND,104,UEBERHAUPT NICHT
695,MITTLERE REIFE,DEUTSCHLAND,1950,STARK
696,"VOLKS-,HAUPTSCHULE",UKRAINE,1313,WENIG
697,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,900,WENIG
698,MITTLERE REIFE,DEUTSCHLAND,120,MITTEL
699,MITTLERE REIFE,DEUTSCHLAND,1100,MITTEL
700,FACHHOCHSCHULREIFE,DEUTSCHLAND,1500,MITTEL
701,HOCHSCHULREIFE,DEUTSCHLAND,2400,SEHR STARK
702,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,VERWEIGERT,MITTEL
703,HOCHSCHULREIFE,DEUTSCHLAND,700,SEHR STARK
704,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,900,MITTEL
705,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1900,MITTEL
706,MITTLERE REIFE,DEUTSCHLAND,450,MITTEL
707,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
708,MITTLERE REIFE,DEUTSCHLAND,900,MITTEL
709,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
710,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1300,MITTEL
711,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,VERWEIGERT,WENIG
712,MITTLERE REIFE,DEUTSCHLAND,380,WENIG
713,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
714,"VOLKS-,HAUPTSCHULE",ITALIEN,1000,MITTEL
715,HOCHSCHULREIFE,SPANIEN,3000,SEHR STARK
716,HOCHSCHULREIFE,DEUTSCHLAND,2500,STARK
717,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1300,UEBERHAUPT NICHT
718,MITTLERE REIFE,SOWJETUNION,1400,MITTEL
719,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,2000,MITTEL
720,HOCHSCHULREIFE,SOWJETUNION,600,MITTEL
721,HOCHSCHULREIFE,SOWJETUNION,2500,SEHR STARK
722,FACHHOCHSCHULREIFE,DEUTSCHLAND,450,WENIG
723,MITTLERE REIFE,GRIECHENLAND,1100,MITTEL
724,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,725,STARK
725,MITTLERE REIFE,DEUTSCHLAND,850,MITTEL
726,FACHHOCHSCHULREIFE,DEUTSCHLAND,662,MITTEL
727,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1200,STARK
728,MITTLERE REIFE,DEUTSCHLAND,2000,MITTEL
729,NOCH SCHUELER,DEUTSCHLAND,KEIN EINKOMMEN,MITTEL
730,MITTLERE REIFE,DEUTSCHLAND,300,MITTEL
731,HOCHSCHULREIFE,DEUTSCHLAND,1577,MITTEL
732,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,MITTEL
